time_start,time_end,spatial_uncertainty,latitude_center,longitude_center,key
1316693783312.3572,1316693783312.3572,20.0,20.399017139244943,95.58014905309959,0.0
1713641557186.559,1713641557186.559,20.0,47.40994621592702,79.35527490648637,0.0
1562956983489.1182,1562956983489.1182,20.0,9.30515611776768,-63.91404609080804,0.0
1471097239993.1023,1471097239993.1023,20.0,-41.59912622265942,-70.81150062512775,0.0
1166146229692.355,1166146229692.355,20.0,-17.6123197118423,-50.98528188274931,0.0
1166129612456.3145,1166129612456.3145,20.0,14.66088714144711,79.7027419502817,0.0
1098675155324.6841,1098675155324.6841,20.0,35.06646336771739,-103.37279106501414,0.0
1655400081959.361,1655400081959.361,20.0,45.61344519995956,127.81268535147805,0.0
1472789632956.8323,1472789632956.8323,20.0,22.51965369688644,84.58471036332621,0.0
1546476668336.332,1546476668336.332,20.0,50.395177815513314,21.90273962210044,0.0
1072840621805.1167,1072840621805.1167,20.0,30.442000618888777,-94.72256674431793,0.0
1726866080809.913,1726866080809.913,20.0,43.17506765551034,72.72982029314304,0.0
1632159818869.3843,1632159818869.3843,20.0,13.621565034001968,105.15184881103585,0.0
1204947491127.2705,1204947491127.2705,20.0,25.791063661599107,64.56239894622549,0.0
1183925165615.255,1183925165615.255,20.0,-7.091899481830812,29.1606109412142,0.0
1185013371145.3462,1185013371145.3462,20.0,-5.293701740634795,16.9012324824119,0.0
1268262968562.0393,1268262968562.0393,20.0,-12.874385018647521,-68.12321429320107,0.0
1420183374215.0623,1420183374215.0623,20.0,26.68615450236538,-102.80737176043617,0.0
1356242148502.745,1356242148502.745,20.0,-18.2142216586929,33.54152245185208,0.0
1259297759283.5325,1259297759283.5325,20.0,-14.999561239610216,-42.54998283219753,0.0
1480187358916.6414,1480187358916.6414,20.0,24.553527823617635,33.67194499701305,0.0
1154761695825.4219,1154761695825.4219,20.0,34.026135844312364,-114.37659323127266,0.0
1259928486942.3726,1259928486942.3726,20.0,43.9785144799323,134.88376961862826,0.0
1311059465869.4104,1311059465869.4104,20.0,-18.973538731445533,-48.65925175751748,0.0
1372862732323.5305,1372862732323.5305,20.0,32.352840895440885,110.35907625205766,0.0
1599596049831.8147,1599596049831.8147,20.0,45.55626255965988,42.30370112373373,0.0
1196221876426.2122,1196221876426.2122,20.0,9.877279580622716,-5.571146534710965,0.0
1412934382720.8022,1412934382720.8022,20.0,21.389302034686896,-77.959400712538,0.0
1466795575069.566,1466795575069.566,20.0,27.638566581922195,-103.33874701812194,0.0
1090660612633.1183,1090660612633.1183,20.0,28.18009456057263,94.92903995281785,0.0
1477219388388.9065,1477219388388.9065,20.0,19.904156782164403,84.11334241886983,0.0
1176139595253.1638,1176139595253.1638,20.0,-8.04580515975596,36.81453963789151,0.0
1103475655821.6587,1103475655821.6587,20.0,-34.49489232210552,143.51792918357984,0.0
1712381650267.2534,1712381650267.2534,20.0,-14.972032409993732,-71.80817287503791,0.0
1723918932533.491,1723918932533.491,20.0,-15.705613478752538,-65.05311644227285,0.0
1615594124659.0452,1615594124659.0452,20.0,-19.683101948852485,-42.97257996418723,0.0
1268518926754.3713,1268518926754.3713,20.0,27.740989111383744,62.69093137354743,0.0
1125949142974.4275,1125949142974.4275,20.0,50.04394653084128,9.678637647492982,0.0
1530052717009.5085,1530052717009.5085,20.0,43.07115815076848,-97.32220364808703,0.0
1361896582594.729,1361896582594.729,20.0,33.952154744893875,94.91224856470784,0.0
1142735867603.0808,1142735867603.0808,20.0,12.917602948429764,-2.6455930830777574,0.0
1399804944439.019,1399804944439.019,20.0,-29.551483851630625,29.93108966590972,0.0
1082350728010.4073,1082350728010.4073,20.0,-30.02096230269523,120.06101957621816,0.0
1685123760778.9902,1685123760778.9902,20.0,15.311914084832859,102.92004020876198,0.0
1236942330061.569,1236942330061.569,20.0,12.815300057950724,22.753033230561808,0.0
1515095381268.2078,1515095381268.2078,20.0,6.80117026198069,1.158799834478082,0.0
1273408524798.9182,1273408524798.9182,20.0,-36.56328392101844,142.53269225879944,0.0
1416953354312.9795,1416953354312.9795,20.0,-3.0511699042973395,36.73645706467483,0.0
1435308194390.949,1435308194390.949,20.0,-23.349701462417404,46.42494269757778,0.0
1186012292511.8354,1186012292511.8354,20.0,52.17978773743001,-110.93736907688567,0.0
1726642021656.6943,1726642021656.6943,20.0,12.320443886175038,32.936409281475356,0.0
1592676959441.2185,1592676959441.2185,20.0,38.08133968264448,60.61668861287395,0.0
1705914876254.3018,1705914876254.3018,20.0,30.828912255480173,82.42737477804118,0.0
1675138959804.308,1675138959804.308,20.0,28.401885931621127,97.22421490098154,0.0
1470574677492.1704,1470574677492.1704,20.0,-36.744662467846496,146.05366052193048,0.0
1693772562041.5444,1693772562041.5444,20.0,50.38492162821971,-108.69478075299294,0.0
1119624967735.3936,1119624967735.3936,20.0,30.072963138980715,86.46744975177685,0.0
1193679064884.7449,1193679064884.7449,20.0,12.984864483330458,-86.52036588849803,0.0
1089817957262.8883,1089817957262.8883,20.0,-3.129915460338541,30.760550079052543,0.0
1282791334618.0842,1282791334618.0842,20.0,45.2227721467475,-117.79792459726016,0.0
1326433404794.5317,1326433404794.5317,20.0,25.416465000294036,108.6339008789054,0.0
1245601615038.1157,1245601615038.1157,20.0,-6.587497601444099,-79.30232612256658,0.0
1629607216216.3535,1629607216216.3535,20.0,11.105688033389598,39.843085452449166,0.0
1304439802307.634,1304439802307.634,20.0,44.808266574347606,118.29465810093494,0.0
1252205406393.946,1252205406393.946,20.0,61.618369925652054,144.80608677600836,0.0
1432542665712.4026,1432542665712.4026,20.0,44.12666524526652,52.49917627722749,0.0
1155747126873.8606,1155747126873.8606,20.0,45.84399727009831,133.30393480160288,0.0
1611322461549.4438,1611322461549.4438,20.0,31.78543812182751,22.899298931317862,0.0
1110019904259.8748,1110019904259.8748,20.0,27.465292727464572,-6.397461835031869,0.0
1738562224129.4443,1738562224129.4443,20.0,-18.44610294217438,29.15296674860164,0.0
1590687271849.4082,1590687271849.4082,20.0,-22.825841283470016,33.529233827199356,0.0
1195561805360.6763,1195561805360.6763,20.0,-21.15587531911995,-46.80258780406649,0.0
1062463591356.995,1062463591356.995,20.0,44.40345564860827,87.54531143758393,0.0
1620460831681.5308,1620460831681.5308,20.0,47.049640020321235,78.07039451609748,0.0
1545639448584.08,1545639448584.08,20.0,27.415317718731863,111.44615809470407,0.0
1560899284229.3706,1560899284229.3706,20.0,20.43975332624981,95.55314565790773,0.0
1590015955961.81,1590015955961.81,20.0,-15.907511220141688,35.20087273059496,0.0
1109671307636.194,1109671307636.194,20.0,-4.786176343851973,14.367937234749595,0.0
1305619539472.6785,1305619539472.6785,20.0,32.669360805891195,65.70112343460268,0.0
1138485693848.9702,1138485693848.9702,20.0,7.567520173196988,32.576743180631375,0.0
1653283171222.7964,1653283171222.7964,20.0,20.96474085133094,106.44244733181591,0.0
1488072403932.01,1488072403932.01,20.0,-29.164815797110485,-62.496850431578835,0.0
1286627125637.7122,1286627125637.7122,20.0,-2.7619170412979877,30.63056920411005,0.0
1102446905526.8374,1102446905526.8374,20.0,42.11743982018551,13.307959883203008,0.0
1272906458874.0554,1272906458874.0554,20.0,21.807331388822686,78.57184209592162,0.0
1282690054845.4731,1282690054845.4731,20.0,54.95170994943765,53.756479412484374,0.0
1561311964646.3086,1561311964646.3086,20.0,18.430322334823238,101.60722122037892,0.0
1497896195398.7935,1497896195398.7935,20.0,39.57155444535578,102.73303232786348,0.0
1669892973953.581,1669892973953.581,20.0,-13.706701446666274,143.13676925316886,0.0
1383985581117.7905,1383985581117.7905,20.0,25.048551317348387,103.57692994651156,0.0
1141052112973.4204,1141052112973.4204,20.0,-31.804439076626625,-53.737584107515524,0.0
1550039995299.5273,1550039995299.5273,20.0,-22.64935030968119,-66.06261865980838,0.0
1582792245117.4844,1582792245117.4844,20.0,18.25880325901254,45.54601281862153,0.0
